class_accuracy,multiclass_brier,rows,market_days,qualifying_predictions,trades,trades_per_day,days_without_trade,net_win_rate,mean_net_bps,profit_factor,return_pct,closed_equity_max_drawdown_pct,name,test_year,horizon_minutes,training_years,classification,calendar,train_rows,calibration_rows,feature_count,train_first,train_last,cal_first,cal_last,test_first,test_last,double_cost_return_pct
0.46959786821705424,0.5778539640390115,24768,261,146,146,0.5593869731800766,183,0.5342465753424658,0.23733361881594256,1.0650873065805455,0.335485522385337,-1.1250304288520696,2024_15m_all_ternary,2024,15,all,ternary,False,172971,24684,41,2016-01-04 23:00:00+00:00,2022-12-30 20:45:00+00:00,2023-01-01 22:00:00+00:00,2023-12-29 20:45:00+00:00,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,-0.24876478663664603
0.48429425064599485,0.5586665179006313,24768,261,111,90,0.3448275862068966,205,0.4888888888888889,-1.6316303363554157,0.7093589612122194,-1.4665002691295448,-2.3594337860064374,2024_30m_1_ternary,2024,30,1,ternary,False,24745,24684,41,2022-01-02 22:00:00+00:00,2022-12-30 20:45:00+00:00,2023-01-01 22:00:00+00:00,2023-12-29 20:45:00+00:00,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,-1.8206485761877667
0.4848998708010336,0.5583485775085565,24768,261,250,190,0.7279693486590039,165,0.48947368421052634,-2.1164361171148123,0.6602989534589053,-3.9700643028946048,-4.783637013634101,2024_30m_3_ternary,2024,30,3,ternary,False,74276,24684,41,2020-01-01 22:00:00+00:00,2022-12-30 20:45:00+00:00,2023-01-01 22:00:00+00:00,2023-12-29 20:45:00+00:00,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,-4.697295544266423
0.4865956072351421,0.5573404184792599,24768,261,240,180,0.6896551724137931,160,0.5555555555555556,-0.309788983039783,0.9147285516656918,-0.5702792621572361,-2.8328048229527947,2024_30m_all_ternary,2024,30,all,ternary,False,172971,24684,41,2016-01-04 23:00:00+00:00,2022-12-30 20:45:00+00:00,2023-01-01 22:00:00+00:00,2023-12-29 20:45:00+00:00,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,-1.2836395726705918
0.4926518087855297,0.5442737364873558,24768,261,214,114,0.4367816091954023,189,0.5614035087719298,-0.01196965236146971,0.9978096450381582,-0.026939756730270936,-2.140339248896428,2024_60m_1_ternary,2024,60,1,ternary,False,24745,24684,41,2022-01-02 22:00:00+00:00,2022-12-30 20:45:00+00:00,2023-01-01 22:00:00+00:00,2023-12-29 20:45:00+00:00,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,-0.48178976841658505
0.5021802325581395,0.5433621106071629,24768,261,364,193,0.7394636015325671,142,0.538860103626943,-0.631856150615931,0.8910353645388104,-1.2423960508584742,-3.5748790657509577,2024_60m_3_ternary,2024,60,3,ternary,False,74276,24684,41,2020-01-01 22:00:00+00:00,2022-12-30 20:45:00+00:00,2023-01-01 22:00:00+00:00,2023-12-29 20:45:00+00:00,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,-2.00193475825049
0.5006863695090439,0.5426954938837221,24768,261,457,229,0.8773946360153256,132,0.5589519650655022,0.772553695636902,1.1569526036466802,1.731058434525523,-3.6556799636582094,2024_60m_all_ternary,2024,60,all,ternary,False,172971,24684,41,2016-01-04 23:00:00+00:00,2022-12-30 20:45:00+00:00,2023-01-01 22:00:00+00:00,2023-12-29 20:45:00+00:00,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,0.8035054546544185
0.519138025761553,0.4992583585290301,16381,173,62,62,0.3583815028901734,127,0.5967741935483871,0.2155078720441257,1.1971449508438767,0.13295474095782467,-0.3884499322786894,2026_15m_1_binary,2026,15,1,binary,False,24768,24679,41,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,-0.1150669879609656
0.5144374580306452,0.4990224006410516,16381,173,172,172,0.9942196531791907,71,0.5523255813953488,0.35974719223017654,1.2904738145455203,0.6192009828879907,-0.7883510910081659,2026_15m_3_binary,2026,15,3,binary,False,74197,24679,41,2022-01-02 22:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,-0.07067233136451856
0.5125450216714487,0.4990202337375218,16381,173,158,158,0.9132947976878613,83,0.5443037974683544,0.15384043777198533,1.1282562559607778,0.24176842086038874,-0.7812937663715602,2026_15m_all_binary,2026,15,all,binary,False,222423,24679,41,2016-01-04 23:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,-0.38976485066251065
