feature_set,cost_x,trades,win_rate,avg_return,profit_factor,growth,max_dd,return_to_dd
BASE,1.0,1556,0.587404,0.000126,1.686292,0.21513,-0.021667,9.928763
BASE,1.5,1556,0.559126,0.000105,1.548716,0.177106,-0.022333,7.930305
BASE,2.0,1556,0.537918,8.5e-05,1.422032,0.140272,-0.024594,5.703584
BASE_PLUS_REGIME,1.0,1391,0.567937,0.000128,1.733627,0.194281,-0.011027,17.619346
BASE_PLUS_REGIME,1.5,1391,0.542056,0.000108,1.588516,0.161269,-0.013624,11.837186
BASE_PLUS_REGIME,2.0,1391,0.519051,8.8e-05,1.455514,0.129168,-0.02168,5.957864
BASE_PLUS_VOL_REGIME,1.0,3469,0.553185,6.4e-05,1.29357,0.245364,-0.029139,8.420456
BASE_PLUS_VOL_REGIME,1.5,3469,0.5307,4.4e-05,1.192755,0.161537,-0.029958,5.39215
BASE_PLUS_VOL_REGIME,2.0,3469,0.508504,2.3e-05,1.0996,0.083351,-0.032787,2.542215
