feature_set,years,positive_years,pf_above_1_years,mean_auc,trades,win_rate,avg_return,profit_factor,growth,max_dd,return_to_dd
BASE,6,6,6,0.527736,1565,0.589137,0.000357,2.949785,0.720391,-0.021667,33.247731
CHAMPION,6,6,6,0.527523,1322,0.585477,0.000216,2.017441,0.321141,-0.019503,16.465987
