year,horizon_minutes,model,trades,market_days,trades_per_day,return_pct,stress_return_pct,closed_drawdown_pct,max_concurrent_positions,daily_pnl_bps_ci_low,daily_pnl_bps_ci_high
2025,30,HGB,121,260,0.4653846153846154,-0.16077996566922215,-0.5845084995969252,-0.30634290464155445,1,-0.30695956862556595,0.16938610346335906
2025,30,logistic,133,260,0.5115384615384615,-0.8371979117074213,-1.1585326722279632,-0.8878960343441933,2,-0.5696307197986019,-0.10500499534616758
2025,60,HGB,200,260,0.7692307692307693,0.19444293100123744,-0.5478340323717523,-0.47268222980685337,2,-0.2333037426189175,0.49812570778999826
2025,60,logistic,66,260,0.25384615384615383,-0.23037937475727244,-0.3777798845086555,-0.41828358593336556,1,-0.28219757080198143,0.10392946297511506
2026,30,HGB,466,173,2.69364161849711,-1.4741185035057724,-3.0665914566853747,-1.482423299006519,3,-1.3330200107905443,-0.3639966918886784
2026,30,logistic,643,173,3.7167630057803467,-2.0754652114947203,-4.198873959867111,-2.110940505065062,3,-2.1228376651600547,-0.3183883208841043
2026,60,HGB,816,173,4.716763005780347,-1.9241863577419638,-4.254458000811523,-2.055138732528683,3,-1.8077862896211228,-0.4082983700043832
2026,60,logistic,824,173,4.763005780346821,-2.8093109066264943,-4.745729935312271,-2.8929057458657037,3,-2.5782531772487283,-1.003252168803168
