name,pair,horizon_minutes,features,year,period,policy,market_days,predictions,direction_accuracy,trades,trades_per_day,return_pct,stress_return_pct,profit_factor,win_rate,closed_drawdown_pct,mean_net_bps
AUDUSD_120m_base_2025,AUDUSD,120,base,2025,test,probability,260,22461,0.5138684831485686,13,0.05,-0.5374724523419361,-0.8080608512983756,0.5180835165744303,0.3076923076923077,-0.6810535268878093,-4.128890288528262
AUDUSD_120m_base_2025,AUDUSD,120,base,2025,test,cost_filtered,260,22461,0.5138684831485686,7,0.026923076923076925,-0.5864235009857888,-0.7272988683766801,0.2853695151247287,0.42857142857142855,-0.6353987110911397,-8.381580937560042
AUDUSD_120m_base_2025,AUDUSD,120,base,2025,test,expected_return,260,22461,0.5138684831485686,139,0.5346153846153846,-5.706423255895388,-8.300399453234665,0.6696252691977496,0.45323741007194246,-7.76580857923962,-4.162400712833863
AUDUSD_120m_base_2025,AUDUSD,120,base,2025,validation,probability,132,11058,0.5002712967986978,4,0.030303030303030304,0.07818980933733677,0.003950677726183294,1.6340535913449021,0.5,-0.12362316980213395,1.9601174021313315
AUDUSD_120m_base_2025,AUDUSD,120,base,2025,validation,cost_filtered,132,11058,0.5002712967986978,3,0.022727272727272728,0.24215510955558628,0.18589093627450204,,1.0,0.0,8.069081410363395
AUDUSD_120m_base_2025,AUDUSD,120,base,2025,validation,expected_return,132,11058,0.5002712967986978,68,0.5151515151515151,1.8280204936857336,0.5030862829086491,1.4621452722838864,0.5588235294117647,-0.8243621907870979,2.6851763551607544
AUDUSD_120m_base_2026,AUDUSD,120,base,2026,test,probability,173,14963,0.5033749916460603,195,1.1271676300578035,-3.121971009911062,-7.842480813840691,0.7638805898618349,0.4256410256410256,-4.263927747425155,-1.6078789241699438
AUDUSD_120m_base_2026,AUDUSD,120,base,2026,test,cost_filtered,173,14963,0.5033749916460603,23,0.1329479768786127,-0.25369939626009863,-0.6532227637271792,0.8897517725836723,0.4782608695652174,-1.0206557418956819,-1.069779330650219
AUDUSD_120m_base_2026,AUDUSD,120,base,2026,test,expected_return,173,14963,0.5033749916460603,114,0.6589595375722543,-6.0418507448883325,-7.851634160247867,0.5004688191015619,0.38596491228070173,-6.0418507448883325,-5.443088580816669
AUDUSD_120m_base_2026,AUDUSD,120,base,2026,validation,probability,132,11357,0.5181826186492912,149,1.128787878787879,-3.8119516434762524,-7.884076279720675,0.4951375854007173,0.3624161073825503,-3.813309499393691,-2.6024397388901064
AUDUSD_120m_base_2026,AUDUSD,120,base,2026,validation,cost_filtered,132,11357,0.5181826186492912,4,0.030303030303030304,-0.34688641963767086,-0.41572256573501054,0.23926137868384773,0.5,-0.4112516767463159,-8.664954640716898
AUDUSD_120m_base_2026,AUDUSD,120,base,2026,validation,expected_return,132,11357,0.5181826186492912,48,0.36363636363636365,-1.4210726426548304,-2.2961156790708537,0.5968436234954181,0.4166666666666667,-1.6988678249923006,-2.9640305248977383
AUDUSD_120m_cross_2025,AUDUSD,120,cross,2025,test,probability,260,22461,0.5146253506077201,9,0.03461538461538462,-0.6429862075456705,-0.8576089790035102,0.4715230747206863,0.4444444444444444,-0.7747004705597194,-7.122596223076991
AUDUSD_120m_cross_2025,AUDUSD,120,cross,2025,test,cost_filtered,260,22461,0.5146253506077201,4,0.015384615384615385,-0.1177116192084271,-0.2026475350702439,0.7536269033314096,0.5,-0.454739320616393,-2.9106393504796193
AUDUSD_120m_cross_2025,AUDUSD,120,cross,2025,test,expected_return,260,22461,0.5146253506077201,161,0.6192307692307693,-1.3655653585079142,-4.485562612166949,0.9258097922879968,0.4782608695652174,-3.013736021593738,-0.7926135052989195
AUDUSD_120m_cross_2025,AUDUSD,120,cross,2025,validation,probability,132,11058,0.49330801229878823,2,0.015151515151515152,0.20206277554759566,0.16369255512782566,,1.0,0.0,10.10304783107225
AUDUSD_120m_cross_2025,AUDUSD,120,cross,2025,validation,cost_filtered,132,11058,0.49330801229878823,2,0.015151515151515152,0.20206277554759566,0.16369255512782566,,1.0,0.0,10.10304783107225
AUDUSD_120m_cross_2025,AUDUSD,120,cross,2025,validation,expected_return,132,11058,0.49330801229878823,75,0.5681818181818182,-0.4792051042086132,-1.8563759959337789,0.9111323505213074,0.5066666666666667,-1.6503650610376952,-0.6232384303517338
AUDUSD_120m_cross_2026,AUDUSD,120,cross,2026,test,probability,173,14963,0.5082536924413553,27,0.15606936416184972,2.1870893578363138,1.6663627410655302,3.5769383581823857,0.5925925925925926,-0.2258700856405893,8.038667981421147
AUDUSD_120m_cross_2026,AUDUSD,120,cross,2026,test,cost_filtered,173,14963,0.5082536924413553,5,0.028901734104046242,0.8657328570074618,0.7858205893632952,49.28326590090192,0.8,-0.01789546079780102,17.281025842388082
AUDUSD_120m_cross_2026,AUDUSD,120,cross,2026,test,expected_return,173,14963,0.5082536924413553,89,0.5144508670520231,-1.7845541976746704,-3.2731023646827895,0.7881337801522802,0.42696629213483145,-2.4951029190861673,-1.9939699599618725
AUDUSD_120m_cross_2026,AUDUSD,120,cross,2026,validation,probability,132,11357,0.5164215902086818,12,0.09090909090909091,-1.735710589640338,-1.9537064620703815,0.19363906267607714,0.25,-1.735710589640338,-14.55890083300817
AUDUSD_120m_cross_2026,AUDUSD,120,cross,2026,validation,cost_filtered,132,11357,0.5164215902086818,2,0.015151515151515152,-0.1257278442841514,-0.16183099143787238,0.5486617697534595,0.5,-0.277629805483226,-6.265247253524531
AUDUSD_120m_cross_2026,AUDUSD,120,cross,2026,validation,expected_return,132,11357,0.5164215902086818,42,0.3181818181818182,-0.29502151041832514,-1.0929229247407246,0.903633652172563,0.5,-1.0912047756913346,-0.6812666032291389
AUDUSD_240m_base_2025,AUDUSD,240,base,2025,test,probability,260,20399,0.5142899161723614,29,0.11153846153846154,-0.32544297665506594,-1.2845299435713664,0.9331037008274805,0.5172413793103449,-1.7800823597624804,-1.0244468748217486
AUDUSD_240m_base_2025,AUDUSD,240,base,2025,test,cost_filtered,260,20399,0.5142899161723614,12,0.046153846153846156,0.5128842341253437,0.25827186782896305,1.2464502995706,0.6666666666666666,-1.5426239420586518,4.447848243525874
AUDUSD_240m_base_2025,AUDUSD,240,base,2025,test,expected_return,260,20399,0.5142899161723614,318,1.2230769230769232,4.63749243520637,-1.7300066474610132,1.1469184429333141,0.4937106918238994,-4.4180951420385695,1.4819983704618716
AUDUSD_240m_base_2025,AUDUSD,240,base,2025,validation,probability,132,10024,0.4903232242617718,15,0.11363636363636363,0.4001695400335681,0.07174057566408099,1.3457583725241187,0.5333333333333333,-0.898534339431678,2.692439525611574
AUDUSD_240m_base_2025,AUDUSD,240,base,2025,validation,cost_filtered,132,10024,0.4903232242617718,5,0.03787878787878788,0.026491692870278527,-0.06717796148558719,1.6220773549253307,0.6,-0.042602708317374116,0.5300865928471759
AUDUSD_240m_base_2025,AUDUSD,240,base,2025,validation,expected_return,132,10024,0.4903232242617718,144,1.0909090909090908,-3.597911209528637,-6.130138870595525,0.7673312231598853,0.4375,-4.106318462416947,-2.5082467974988774
AUDUSD_240m_base_2026,AUDUSD,240,base,2026,test,probability,173,13591,0.5158560812302259,162,0.9364161849710982,-5.902356012180565,-9.21508904001982,0.6629333231183192,0.38271604938271603,-6.503606247337856,-3.724745923717812
AUDUSD_240m_base_2026,AUDUSD,240,base,2026,test,cost_filtered,173,13591,0.5158560812302259,71,0.41040462427745666,-1.91433183882318,-3.1218871315588648,0.7638348550820273,0.4225352112676056,-2.6091421198878417,-2.683279702102098
AUDUSD_240m_base_2026,AUDUSD,240,base,2026,test,expected_return,173,13591,0.5158560812302259,254,1.4682080924855492,-3.4876842615796932,-7.589012492988001,0.8745071967296544,0.4645669291338583,-4.966072602210225,-1.3614431539807854
AUDUSD_240m_base_2026,AUDUSD,240,base,2026,validation,probability,132,10311,0.515274949083503,113,0.8560606060606061,-1.8198764121919342,-4.520755027432244,0.7737393471628807,0.4336283185840708,-2.630247265109009,-1.6129448308653331
AUDUSD_240m_base_2026,AUDUSD,240,base,2026,validation,cost_filtered,132,10311,0.515274949083503,25,0.1893939393939394,-0.7479671540964405,-1.2285475326492712,0.6678521285832063,0.48,-1.3775153812222496,-2.9810910322457675
AUDUSD_240m_base_2026,AUDUSD,240,base,2026,validation,expected_return,132,10311,0.515274949083503,124,0.9393939393939394,-3.3687444860017957,-5.585427503510942,0.7407223692572805,0.4838709677419355,-5.500092446282179,-2.7268625671280198
AUDUSD_240m_cross_2025,AUDUSD,240,cross,2025,test,probability,260,20399,0.5142899161723614,0,0.0,0.0,0.0,,,0.0,
AUDUSD_240m_cross_2025,AUDUSD,240,cross,2025,test,cost_filtered,260,20399,0.5142899161723614,0,0.0,0.0,0.0,,,0.0,
AUDUSD_240m_cross_2025,AUDUSD,240,cross,2025,test,expected_return,260,20399,0.5142899161723614,315,1.2115384615384615,0.1025844355279304,-5.898513718556531,1.0073134934974421,0.4857142857142857,-4.205294879953991,0.0757265907387687
AUDUSD_240m_cross_2025,AUDUSD,240,cross,2025,validation,probability,132,10024,0.4903232242617718,0,0.0,0.0,0.0,,,0.0,
AUDUSD_240m_cross_2025,AUDUSD,240,cross,2025,validation,cost_filtered,132,10024,0.4903232242617718,0,0.0,0.0,0.0,,,0.0,
AUDUSD_240m_cross_2025,AUDUSD,240,cross,2025,validation,expected_return,132,10024,0.4903232242617718,160,1.2121212121212122,-8.545143440550362,-11.239130411373388,0.5467873765357332,0.41875,-8.75273860561283,-5.54407162571794
AUDUSD_240m_cross_2026,AUDUSD,240,cross,2026,test,probability,173,13591,0.5168861746744169,37,0.2138728323699422,-1.0594182913906014,-1.974857244489403,0.7575739818064907,0.4594594594594595,-1.905902367369161,-2.8432209449835075
AUDUSD_240m_cross_2026,AUDUSD,240,cross,2026,test,cost_filtered,173,13591,0.5168861746744169,17,0.09826589595375723,-0.7308083747339267,-1.0482616493490582,0.6955476258618434,0.47058823529411764,-1.186193002065361,-4.269491702901594
AUDUSD_240m_cross_2026,AUDUSD,240,cross,2026,test,expected_return,173,13591,0.5168861746744169,239,1.3815028901734103,-1.0853876730995027,-5.062269727315972,0.9570686185787561,0.4602510460251046,-4.930460049847552,-0.4231357265374224
AUDUSD_240m_cross_2026,AUDUSD,240,cross,2026,validation,probability,132,10311,0.506449422946368,26,0.19696969696969696,-0.7246504692045797,-1.4229724886606565,0.6964843747197723,0.4230769230769231,-1.4852975383049305,-2.7748860633510146
AUDUSD_240m_cross_2026,AUDUSD,240,cross,2026,validation,cost_filtered,132,10311,0.506449422946368,5,0.03787878787878788,-0.16332524537019388,-0.2588207553092192,0.7474888408027027,0.4,-0.45895730452973904,-3.2337533281850632
AUDUSD_240m_cross_2026,AUDUSD,240,cross,2026,validation,expected_return,132,10311,0.506449422946368,111,0.8409090909090909,-1.9068900122913734,-3.884440120951682,0.7867089004033138,0.5135135135135135,-2.3684348062056326,-1.7158421095875247
AUDUSD_60m_base_2025,AUDUSD,60,base,2025,test,probability,260,23493,0.5144511130975185,322,1.2384615384615385,-10.930639690852528,-21.372383676399643,0.4169426385943096,0.2950310559006211,-10.930639690852528,-3.583466365720449
AUDUSD_60m_base_2025,AUDUSD,60,base,2025,test,cost_filtered,260,23493,0.5144511130975185,2,0.007692307692307693,-1.950135089609284,-1.9976551581625257,0.0,0.0,-1.950135089609284,-97.85149162088496
AUDUSD_60m_base_2025,AUDUSD,60,base,2025,test,expected_return,260,23493,0.5144511130975185,27,0.10384615384615385,-5.233163183369182,-5.8202732817813185,0.16585979812208831,0.25925925925925924,-5.370305130271447,-19.81314788648989
AUDUSD_60m_base_2025,AUDUSD,60,base,2025,validation,probability,132,11575,0.49658747300215983,154,1.1666666666666667,-5.455086377290863,-10.769586088346795,0.4132505945088538,0.24675324675324675,-5.654892797627486,-3.6339220833732013
AUDUSD_60m_base_2025,AUDUSD,60,base,2025,validation,cost_filtered,132,11575,0.49658747300215983,1,0.007575757575757576,0.11334499082067406,0.09513806915595335,,1.0,0.0,11.334499082068048
AUDUSD_60m_base_2025,AUDUSD,60,base,2025,validation,expected_return,132,11575,0.49658747300215983,9,0.06818181818181818,0.2583331947137335,0.08266824257963101,1.3253786697752505,0.4444444444444444,-0.40464539292212054,2.9125881874562016
AUDUSD_60m_base_2026,AUDUSD,60,base,2026,test,probability,173,15651,0.5094882116158712,506,2.9248554913294798,-10.252922434205992,-21.562604712657695,0.5406471578020792,0.34782608695652173,-10.337357408206705,-2.131795948405252
AUDUSD_60m_base_2026,AUDUSD,60,base,2026,test,cost_filtered,173,15651,0.5094882116158712,1,0.005780346820809248,-0.530696796225183,-0.5491174386805131,0.0,0.0,-0.530696796225183,-53.069679622518116
AUDUSD_60m_base_2026,AUDUSD,60,base,2026,test,expected_return,173,15651,0.5094882116158712,18,0.10404624277456648,0.08125794306153011,-0.238078225021654,1.0737769187862478,0.3888888888888889,-0.9127615279981738,0.4696560717624855
AUDUSD_60m_base_2026,AUDUSD,60,base,2026,validation,probability,132,11881,0.5177173638582611,348,2.6363636363636362,-8.454017310058582,-17.53884331808112,0.4241404181403875,0.3160919540229885,-8.533578526012187,-2.5340266361230532
AUDUSD_60m_base_2026,AUDUSD,60,base,2026,validation,cost_filtered,132,11881,0.5177173638582611,0,0.0,0.0,0.0,,,0.0,
AUDUSD_60m_base_2026,AUDUSD,60,base,2026,validation,expected_return,132,11881,0.5177173638582611,2,0.015151515151515152,-0.15848605448054442,-0.19422596402720593,0.0,0.0,-0.15848605448054442,-7.926281371716743
AUDUSD_60m_cross_2025,AUDUSD,60,cross,2025,test,probability,260,23493,0.5143234154854638,257,0.9884615384615385,-12.476283524610764,-21.653284759401338,0.29880803489086655,0.29571984435797666,-12.557118541127876,-5.1723183625230895
